Plant ID,Length (px),Centroid,Image Name
1,38.786147528287096,"(74.21212121212122, 1847.0)",test_image_1.png
2,11.8247564756135,"(72.2, 2405.5)",test_image_1.png
3,27.714484734232464,"(73.125, 1033.5)",test_image_1.png
4,53.299759439742445,"(93.0, 3207.511111111111)",test_image_1.png
5,13.84933190843442,"(82.5, 3192.0)",test_image_1.png
6,9.311932256982406,"(79.375, 985.5)",test_image_1.png
7,5.23606797749979,"(80.0, 3303.5)",test_image_1.png
8,5.77331086475517,"(82.8, 973.0)",test_image_1.png
9,27.27070235869968,"(92.63636363636364, 942.5)",test_image_1.png
10,5.77331086475517,"(88.8, 3330.0)",test_image_1.png
11,5.23606797749979,"(99.0, 925.5)",test_image_1.png
12,8.326152326612618,"(102.0, 3190.8571428571427)",test_image_1.png
13,5.77331086475517,"(116.8, 893.0)",test_image_1.png
14,11.720850816141239,"(122.66666666666667, 884.0)",test_image_1.png
15,41.08119754425466,"(137.86666666666667, 861.7333333333333)",test_image_1.png
16,11.884343825882448,"(140.0, 3195.3333333333335)",test_image_1.png
17,21.901568815570847,"(169.21052631578948, 3189.315789473684)",test_image_1.png
18,18.34877240974081,"(301.92857142857144, 2797.5)",test_image_1.png
19,10.953014682392938,"(385.4, 3497.4)",test_image_1.png
20,23.580563378426696,"(460.85714285714283, 3497.5238095238096)",test_image_1.png
21,8.047643670701847,"(513.0, 3499.285714285714)",test_image_1.png
22,7.03351653710044,"(557.5, 3500.6666666666665)",test_image_1.png
23,13.80124139943919,"(570.2222222222222, 3235.0)",test_image_1.png
24,4.680205767201096,"(581.75, 3223.5)",test_image_1.png
25,10.400466710539499,"(588.0, 3182.1111111111113)",test_image_1.png
26,1474.6788575297535,"(1141.468474576271, 2688.3816949152542)",test_image_1.png
27,5.77331086475517,"(599.8, 3500.0)",test_image_1.png
28,23.078987452562405,"(635.5, 3500.3)",test_image_1.png
29,1095.2352639519568,"(1113.8436278342456, 3224.9061767005473)",test_image_1.png
30,5.495947704432125,"(653.75, 2587.5)",test_image_1.png
31,3.677088528342677,"(662.3333333333334, 749.0)",test_image_1.png
32,333.2134636815695,"(791.0666666666667, 1038.8703703703704)",test_image_1.png
33,3.677088528342677,"(665.3333333333334, 1181.0)",test_image_1.png
34,929.9078377912815,"(1065.3533519553073, 1092.3175046554934)",test_image_1.png
35,245.3823804576112,"(765.2948717948718, 2169.698717948718)",test_image_1.png
36,1474.4623828380543,"(1208.178590355061, 1573.4297827239004)",test_image_1.png
37,26.533829439826647,"(714.0, 3500.1304347826085)",test_image_1.png
38,6.34001103350453,"(717.0, 2093.2)",test_image_1.png
39,72.7370445062804,"(757.0, 749.1269841269841)",test_image_1.png
40,5.23606797749979,"(740.5, 3500.0)",test_image_1.png
41,95.13401952081574,"(804.2467532467532, 2079.285714285714)",test_image_1.png
42,11.335332779705842,"(786.1111111111111, 1466.0)",test_image_1.png
43,11.558127111164707,"(790.5, 3501.0)",test_image_1.png
44,7.296765139714886,"(791.8333333333334, 1450.5)",test_image_1.png
45,4.618802153517006,"(797.0, 1383.0)",test_image_1.png
46,21.909206242235655,"(834.0, 3500.9473684210525)",test_image_1.png
47,15.017889127383294,"(833.0, 1843.6153846153845)",test_image_1.png
48,1356.024019912982,"(1410.0166204986149, 2111.4853185595566)",test_image_1.png
49,65.343949126791,"(865.0188679245283, 1540.0188679245282)",test_image_1.png
50,11.736472140378133,"(854.5, 1843.2)",test_image_1.png
51,13.84933190843442,"(870.5, 3502.0)",test_image_1.png
52,92.24629694190166,"(911.0, 1854.3835616438357)",test_image_1.png
53,23.07898738559485,"(914.5, 1593.3)",test_image_1.png
54,69.66682325025384,"(937.4615384615385, 1536.4)",test_image_1.png
55,197.58940500603796,"(999.2514619883041, 1961.906432748538)",test_image_1.png
56,25.384302513974045,"(932.5, 1407.0)",test_image_1.png
57,10.654919592783836,"(935.0, 1590.7777777777778)",test_image_1.png
58,21.242564188045808,"(953.0666666666667, 2800.6666666666665)",test_image_1.png
59,5.77331086475517,"(948.8, 1806.0)",test_image_1.png
60,6.623160316948245,"(968.0, 3502.0)",test_image_1.png
61,9.551170035703311,"(972.625, 1584.625)",test_image_1.png
62,19.88512468256362,"(984.0, 1538.4705882352941)",test_image_1.png
63,13.81673621463533,"(985.6666666666666, 3501.6666666666665)",test_image_1.png
64,32.49061315870879,"(1006.4642857142857, 1630.0)",test_image_1.png
65,13.84933190843442,"(1003.5, 1407.0)",test_image_1.png
66,18.457095507560727,"(1017.5, 3502.0)",test_image_1.png
67,5.687161940617039,"(1023.0, 2254.8)",test_image_1.png
68,7.112980317297545,"(1024.5, 1406.0)",test_image_1.png
69,6.623160316948245,"(1038.0, 1627.0)",test_image_1.png
70,5.23606797749979,"(1039.5, 1405.0)",test_image_1.png
71,3.677088528342677,"(1048.6666666666667, 3502.0)",test_image_1.png
72,6.623160316948245,"(1054.0, 1627.0)",test_image_1.png
73,3.677088528342677,"(1054.3333333333333, 1404.0)",test_image_1.png
74,24.229387596747852,"(1072.0, 3502.0)",test_image_1.png
